Symbol, Underlying Index, Nearest Strike Price, Calls LTP Value, Put LTP Value, Sum of Call and Put LTP, % of Strike Price
ACC,1452.7,1460.0,37.25,40.8,78.05,5.3458905
ADANIENT,204.8,205.0,8.7,8.7,17.4,8.487805
ADANIPORTS,384.3,385.0,12.45,13.15,25.599998,6.64935
AMBUJACEM,199.95,200.0,5.5,5.15,10.65,5.325
APOLLOHOSP,1480.8,1480.0,45.0,37.1,82.1,5.5472975
APOLLOTYRE,163.0,165.0,4.6,7.3,11.9,7.212121
ASHOKLEY,81.75,82.5,2.85,3.6,6.45,7.818182
ASIANPAINT,1738.65,1740.0,43.0,41.7,84.7,4.867816
AUROPHARMA,452.0,450.0,20.0,16.65,36.65,8.144445
AXISBANK,733.9,730.0,24.1,18.0,42.1,5.767123
BAJAJ-AUTO,3039.0,3050.0,80.0,74.3,154.3,5.0590167
BAJAJFINSV,9189.0,9200.0,213.15,215.3,428.45,4.6570654
BAJFINANCE,4046.0,4000.0,143.0,76.85,219.85,5.49625
BALKRISIND,974.5,980.0,27.5,30.05,57.55,5.872449
BANKBARODA,97.25,97.5,3.8,3.95,7.75,7.948718
BANKNIFTY,31685.25,31700.0,215.0,177.0,392.0,1.2365931
BATAINDIA,1736.7,1740.0,38.5,42.4,80.9,4.6494255
BEL,97.0,97.5,3.8,3.9,7.7,7.8974357
BERGEPAINT,496.35,495.0,15.0,10.6,25.6,5.171717
BHARATFORG,487.9,490.0,14.2,16.3,30.5,6.22449
BHARTIARTL,452.8,455.0,13.85,14.5,28.35,6.230769
BHEL,43.55,44.0,1.75,1.9,3.65,8.295455
BIOCON,282.0,280.0,12.65,10.85,23.5,8.392857
BPCL,469.35,470.0,18.8,15.35,34.15,7.2659574
CADILAHC,257.3,255.0,10.75,6.55,17.3,6.784313
CANBK,210.4,210.0,9.85,9.4,19.25,9.166667
CENTURYTEX,472.95,480.0,16.4,18.8,35.199997,7.333333
CIPLA,467.05,470.0,13.0,13.75,26.75,5.691489
COALINDIA,208.1,210.0,3.55,9.15,12.7,6.0476193
DABUR,454.1,455.0,10.35,10.85,21.2,4.659341
DIVISLAB,1841.5,1840.0,50.7,41.5,92.2,5.0108695
DLF,225.0,225.0,9.75,8.65,18.4,8.177777
DRREDDY,2902.3,2900.0,92.1,79.3,171.4,5.9103446
EICHERMOT,20930.65,21000.0,718.65,702.95,1421.6001,6.7695246
EQUITAS,102.2,102.5,5.7,4.1,9.799999,9.560975
ESCORTS,617.95,620.0,21.9,21.3,43.199997,6.967741
EXIDEIND,184.6,185.0,6.1,5.25,11.35,6.1351357
GAIL,125.25,125.0,4.05,3.5,7.55,6.04
GLENMARK,344.35,340.0,17.5,10.25,27.75,8.161764
GMRINFRA,23.45,23.0,1.4,0.9,2.3,10.0
GODREJCP,705.95,710.0,20.5,21.5,42.0,5.915493
