Symbol, Underlying Index, Nearest Strike Price, Calls LTP Value, Put LTP Value, Sum of Call and Put LTP, % of Strike Price
ACC,1460.15,1460.0,44.8,35.6,80.399994,5.506849
ADANIENT,200.5,200.0,9.25,8.5,17.75,8.875
ADANIPORTS,385.4,385.0,12.1,10.5,22.6,5.87013
ADANIPOWER,59.55,60.0,2.3,2.5,4.8,8.000001
AMARAJABAT,721.85,720.0,23.85,20.3,44.15,6.1319447
AMBUJACEM,201.7,200.0,6.8,4.3,11.1,5.55
APOLLOHOSP,1473.0,1480.0,40.05,37.25,77.3,5.2229733
APOLLOTYRE,162.3,160.0,7.35,4.15,11.5,7.1875
ASHOKLEY,80.6,80.0,3.6,2.6,6.2,7.75
ASIANPAINT,1732.6,1740.0,43.35,39.8,83.149994,4.778735
AUROPHARMA,450.5,450.0,17.15,15.45,32.6,7.244444
AXISBANK,723.5,720.0,23.85,17.95,41.800003,5.8055563
BAJAJ-AUTO,3057.0,3050.0,80.55,64.25,144.8,4.7475414
BAJAJFINSV,9144.0,9100.0,260.0,172.6,432.6,4.753846
BAJFINANCE,4051.0,4100.0,80.3,123.0,203.3,4.9585366
BALKRISIND,995.15,1000.0,25.35,30.95,56.300003,5.63
BANKBARODA,95.1,95.0,4.25,3.75,8.0,8.421053
BANKNIFTY,31373.65,31400.0,161.55,217.0,378.55,1.2055732
BATAINDIA,1731.95,1740.0,38.2,42.25,80.45,4.6235633
BEL,95.4,95.0,4.15,3.25,7.4,7.789474
BERGEPAINT,496.5,495.0,13.5,13.65,27.15,5.4848485
BHARATFORG,489.0,490.0,14.55,15.65,30.2,6.1632657
BHARTIARTL,458.9,460.0,16.15,16.9,33.05,7.1847825
BHEL,43.15,43.0,2.0,2.0,4.0,9.302325
BIOCON,282.3,280.0,10.95,9.6,20.55,7.3392854
BOSCHLTD,14530.0,14500.0,409.3,179.0,588.3,4.0572414
BPCL,461.85,460.0,18.65,15.6,34.25,7.445652
BRITANNIA,3025.0,3000.0,80.4,49.0,129.4,4.313333
CADILAHC,258.3,260.0,7.55,8.7,16.25,6.25
CANBK,207.6,210.0,8.5,11.0,19.5,9.285714
CASTROLIND,125.0,125.0,8.65,3.75,12.4,9.919999
CENTURYTEX,476.0,480.0,20.05,20.1,40.15,8.364584
CESC,721.0,720.0,20.0,14.55,34.55,4.7986107
CIPLA,463.6,460.0,14.5,10.25,24.75,5.380435
COALINDIA,200.5,200.0,5.85,5.75,11.6,5.8
COLPAL,1450.0,1440.0,39.3,25.65,64.95,4.5104165
CONCOR,552.85,550.0,16.25,10.7,26.95,4.9
CUMMINSIND,578.55,580.0,18.35,21.05,39.4,6.793103
DABUR,456.65,455.0,11.85,8.8,20.650002,4.538462
DISHTV,12.45,12.0,1.25,0.85,2.1,17.5
DIVISLAB,1835.0,1840.0,46.3,42.45,88.75,4.8233695
DLF,227.1,225.0,10.45,7.45,17.9,7.9555554
DRREDDY,2900.0,2900.0,80.0,80.7,160.7,5.5413795
EICHERMOT,19900.0,20000.0,792.8,750.7,1543.5,7.7174997
EQUITAS,101.2,100.0,5.15,3.45,8.6,8.6
ESCORTS,611.7,620.0,18.5,22.45,40.95,6.6048393
EXIDEIND,181.05,180.0,6.95,4.5,11.45,6.361111
FEDERALBNK,87.0,87.0,3.2,3.05,6.25,7.183908
GAIL,124.2,125.0,3.1,4.3,7.4,5.92
GLENMARK,339.5,340.0,13.3,12.9,26.2,7.705883
GMRINFRA,24.15,24.0,1.45,1.1,2.5500002,10.625001
GODREJCP,711.0,710.0,21.5,16.2,37.7,5.3098593
GRASIM,742.7,740.0,23.3,18.5,41.8,5.6486483
HAVELLS,629.6,630.0,21.5,20.75,42.25,6.7063494
HCLTECH,585.0,580.0,19.6,13.4,33.0,5.6896553
HDFC,2400.0,2400.0,60.0,45.2,105.2,4.383333
HDFCBANK,1256.0,1260.0,26.5,26.6,53.1,4.214286
HEROMOTOCO,2318.9,2300.0,79.5,48.35,127.85,5.558696
HINDALCO,207.0,205.0,8.4,5.35,13.75,6.7073174
HINDPETRO,242.7,245.0,9.65,11.0,20.65,8.428572
HINDUNILVR,1932.0,1940.0,42.2,41.45,83.65,4.311856
IBULHSGFIN,310.15,310.0,20.2,21.1,41.300003,13.322581
ICICIBANK,525.8,525.0,15.6,12.7,28.3,5.390476
