Symbol, Underlying Index, Nearest Strike Price, Calls LTP Value, Put LTP Value, Sum of Call and Put LTP, % of Strike Price
ICICIPRULI,482.95,480.0,16.0,12.4,28.4,5.9166665
IDEA,6.5,6.0,1.1,0.6,1.7,28.333334
IDFCFIRSTB,43.05,43.0,1.9,1.35,3.25,7.5581393
IGL,417.6,420.0,10.4,11.6,22.0,5.2380953
INDIGO,1355.25,1360.0,56.3,54.85,111.149994,8.172793
INDUSINDBK,1461.75,1460.0,58.65,49.3,107.95,7.3938355
INFRATEL,236.6,235.0,11.85,11.3,23.150002,9.851065
INFY,718.9,720.0,23.3,22.45,45.75,6.3541665
IOC,122.1,122.5,3.9,4.4,8.3,6.7755103
ITC,234.4,235.0,5.2,5.05,10.25,4.361702
JINDALSTEL,175.75,175.0,9.65,8.1,17.75,10.142857
JSWSTEEL,262.7,265.0,9.35,10.4,19.75,7.45283
JUSTDIAL,567.2,560.0,23.0,18.75,41.75,7.455357
KOTAKBANK,1651.65,1660.0,42.0,42.3,84.3,5.0783134
LICHSGFIN,420.65,420.0,16.0,14.1,30.1,7.1666665
LT,1291.5,1300.0,33.35,38.0,71.35,5.4884615
LUPIN,757.0,760.0,19.5,22.15,41.65,5.480263
MANAPPURAM,176.0,175.0,7.1,5.05,12.15,6.9428573
MARICO,333.15,335.0,8.3,8.35,16.650002,4.9701495
MARUTI,7035.0,7000.0,220.45,142.35,362.8,5.182857
MCDOWELL-N,575.25,580.0,14.5,18.8,33.3,5.7413793
MFSL,558.2,560.0,21.0,20.35,41.35,7.3839283
MGL,1033.6,1040.0,24.6,26.0,50.6,4.8653846
MINDTREE,844.55,840.0,29.05,30.85,59.9,7.130953
MOTHERSUMI,147.05,147.5,5.4,5.55,10.950001,7.4237294
MUTHOOTFIN,745.0,740.0,26.2,15.3,41.5,5.608108
NATIONALUM,44.45,44.0,1.8,1.3,3.1,7.0454545
NBCC,34.4,34.0,1.85,1.25,3.1,9.117646
NCC,53.8,54.0,2.6,2.5,5.1,9.444445
NIFTY,12025.35,12050.0,32.95,63.0,95.95,0.79626554
NMDC,121.6,122.5,4.65,5.3,9.950001,8.122449
NTPC,120.0,120.0,2.8,2.8,5.6,4.6666665
OIL,155.1,155.0,4.35,4.2,8.549999,5.5161285
ONGC,123.45,122.5,4.75,3.7,8.45,6.897959
PEL,1473.35,1464.2,64.55,50.05,114.600006,7.826801
PETRONET,270.25,270.0,7.45,5.75,13.2,4.888889
PFC,115.7,115.0,4.45,3.4,7.85,6.826087
PIDILITIND,1403.6,1400.0,38.95,30.2,69.15,4.9392858
PNB,60.85,61.0,2.75,2.5,5.25,8.606558
POWERGRID,190.6,190.0,4.85,3.85,8.7,4.578947
PVR,1862.0,1850.0,66.0,45.95,111.95,6.051351
RBLBANK,346.35,340.0,19.9,15.1,35.0,10.294118
RECLTD,138.7,137.5,5.4,3.75,9.15,6.654545
RELIANCE,1514.0,1520.0,41.35,39.5,80.85,5.319079
SAIL,46.75,47.0,1.9,1.95,3.85,8.191489
SBIN,319.35,320.0,11.05,11.1,22.150002,6.9218755
SIEMENS,1473.55,1480.0,33.35,38.5,71.85,4.8547297
SRF,3465.45,3450.0,100.8,79.95,180.75,5.2391305
SRTRANSFIN,1131.95,1140.0,35.05,42.05,77.1,6.763158
SUNPHARMA,439.1,440.0,14.0,13.0,27.0,6.136364
SUNTV,426.5,430.0,16.85,17.2,34.050003,7.9186053
TATACHEM,664.65,660.0,22.0,13.3,35.3,5.3484845
TATAGLOBAL,316.1,315.0,10.2,7.85,18.05,5.7301583
TATAMOTORS,182.75,185.0,7.15,8.45,15.6,8.432433
TATAMTRDVR,75.3,75.0,3.85,3.15,7.0,9.333333
TATAPOWER,56.2,56.0,2.0,1.65,3.65,6.5178576
TATASTEEL,476.5,480.0,16.2,17.0,33.2,6.916667
TCS,2253.35,2260.0,62.0,70.0,132.0,5.840708
TECHM,768.1,770.0,18.9,15.75,34.65,4.5
TITAN,1143.1,1140.0,35.7,25.85,61.550003,5.399123
TORNTPHARM,1866.3,1860.0,55.0,39.7,94.7,5.091398
TVSMOTOR,446.95,450.0,9.75,20.05,29.8,6.622222
UJJIVAN,332.45,330.0,13.25,9.8,23.05,6.9848485
ULTRACEMCO,4308.0,4300.0,131.25,112.0,243.25,5.6569767
UPL,601.0,600.0,19.1,16.75,35.85,5.975
VEDL,156.9,155.0,7.6,5.0,12.6,8.129033
VOLTAS,650.0,650.0,20.0,15.3,35.3,5.430769
WIPRO,254.6,255.0,6.6,7.2,13.799999,5.411764
YESBANK,46.05,45.0,5.0,6.25,11.25,25.0
ZEEL,264.8,260.0,17.4,11.0,28.4,10.923077
